product_name,description,base_price,category,product_sku,variant_color,variant_storage,price_modifier,variant_sku,quantity,low_stock_threshold
Camera 1,Best value for money,304.17,Gadgets,SKU-0001,Black,128GB,122.44,SKU-0001-BLA-128GB,35,9
Tablet 2,Compact and lightweight design,743.52,Electronics,SKU-0002,Blue,64GB,110.07,SKU-0002-BLU-64GB,46,16
Tablet 3,Compact and lightweight design,1075.28,Gadgets,SKU-0003,Red,32GB,156.75,SKU-0003-RED-32GB,58,18
Laptop 4,Best value for money,1272.63,Gadgets,SKU-0004,White,512GB,28.04,SKU-0004-WHI-512GB,5,6
Laptop 5,Best value for money,1228.83,Electronics,SKU-0005,Blue,16GB,197.83,SKU-0005-BLU-16GB,12,19
Smartphone 6,Enhanced performance and battery life,115.41,Accessories,SKU-0006,White,128GB,195.54,SKU-0006-WHI-128GB,81,12
Camera 7,Enhanced performance and battery life,1989.46,Gadgets,SKU-0007,White,256GB,143.77,SKU-0007-WHI-256GB,95,15
Smartphone 8,Latest model with advanced features,1448.32,Accessories,SKU-0008,Silver,32GB,128.3,SKU-0008-SIL-32GB,56,16
Laptop 9,Latest model with advanced features,1426.86,Electronics,SKU-0009,Green,64GB,145.1,SKU-0009-GRE-64GB,50,17
Laptop 10,Compact and lightweight design,1091.83,Gadgets,SKU-0010,White,32GB,198.26,SKU-0010-WHI-32GB,35,9
Camera 11,Best value for money,1756.37,Accessories,SKU-0011,Silver,16GB,130.0,SKU-0011-SIL-16GB,69,15
Speaker 12,Best value for money,617.93,Electronics,SKU-0012,Blue,16GB,110.01,SKU-0012-BLU-16GB,82,20
Camera 13,Enhanced performance and battery life,189.0,Accessories,SKU-0013,Gold,16GB,167.05,SKU-0013-GOL-16GB,10,7
Camera 14,High quality and durable product,1394.78,Electronics,SKU-0014,Blue,128GB,131.71,SKU-0014-BLU-128GB,82,19
Camera 15,Latest model with advanced features,342.55,Accessories,SKU-0015,White,32GB,20.06,SKU-0015-WHI-32GB,13,8
Tablet 16,Compact and lightweight design,1706.82,Gadgets,SKU-0016,Gold,16GB,154.84,SKU-0016-GOL-16GB,36,13
Smartwatch 17,Best value for money,1154.54,Gadgets,SKU-0017,Green,64GB,91.9,SKU-0017-GRE-64GB,24,20
Tablet 18,Latest model with advanced features,150.68,Electronics,SKU-0018,Gold,256GB,100.98,SKU-0018-GOL-256GB,23,7
Tablet 19,Compact and lightweight design,717.76,Electronics,SKU-0019,Black,32GB,51.24,SKU-0019-BLA-32GB,73,16
Speaker 20,Compact and lightweight design,1803.2,Accessories,SKU-0020,White,256GB,177.21,SKU-0020-WHI-256GB,56,14
Speaker 21,Compact and lightweight design,1720.58,Gadgets,SKU-0021,Blue,512GB,28.33,SKU-0021-BLU-512GB,89,8
Tablet 22,Enhanced performance and battery life,448.09,Gadgets,SKU-0022,Blue,16GB,108.99,SKU-0022-BLU-16GB,31,18
Smartwatch 23,Best value for money,705.43,Electronics,SKU-0023,Blue,256GB,55.21,SKU-0023-BLU-256GB,36,17
Smartwatch 24,Best value for money,260.01,Gadgets,SKU-0024,Black,32GB,24.31,SKU-0024-BLA-32GB,65,18
Monitor 25,Compact and lightweight design,193.88,Electronics,SKU-0025,Black,256GB,4.7,SKU-0025-BLA-256GB,66,6
Smartphone 26,Enhanced performance and battery life,928.87,Gadgets,SKU-0026,Gold,256GB,88.63,SKU-0026-GOL-256GB,59,20
Smartphone 27,Compact and lightweight design,583.59,Electronics,SKU-0027,Red,128GB,7.89,SKU-0027-RED-128GB,76,12
Monitor 28,High quality and durable product,320.76,Gadgets,SKU-0028,Blue,128GB,71.42,SKU-0028-BLU-128GB,80,8
Headphones 29,Enhanced performance and battery life,1989.23,Gadgets,SKU-0029,Gold,512GB,149.75,SKU-0029-GOL-512GB,94,7
Tablet 30,Best value for money,1787.59,Gadgets,SKU-0030,Gold,512GB,80.93,SKU-0030-GOL-512GB,72,16
Monitor 31,Compact and lightweight design,985.84,Gadgets,SKU-0031,Gold,128GB,65.62,SKU-0031-GOL-128GB,26,10
Tablet 32,Latest model with advanced features,991.87,Accessories,SKU-0032,Black,256GB,196.1,SKU-0032-BLA-256GB,72,9
Monitor 33,Latest model with advanced features,1848.27,Accessories,SKU-0033,Silver,32GB,136.27,SKU-0033-SIL-32GB,26,5
Speaker 34,Enhanced performance and battery life,1394.18,Gadgets,SKU-0034,Black,16GB,127.57,SKU-0034-BLA-16GB,64,8
Smartphone 35,Best value for money,1404.22,Gadgets,SKU-0035,Blue,256GB,70.99,SKU-0035-BLU-256GB,87,10
Speaker 36,Latest model with advanced features,403.56,Accessories,SKU-0036,Green,512GB,31.84,SKU-0036-GRE-512GB,42,7
Headphones 37,Latest model with advanced features,672.43,Electronics,SKU-0037,Gold,512GB,25.81,SKU-0037-GOL-512GB,85,16
Smartphone 38,High quality and durable product,1270.1,Electronics,SKU-0038,White,512GB,66.43,SKU-0038-WHI-512GB,39,13
Monitor 39,Latest model with advanced features,822.15,Gadgets,SKU-0039,Green,512GB,158.62,SKU-0039-GRE-512GB,37,8
Smartphone 40,High quality and durable product,593.2,Gadgets,SKU-0040,Green,256GB,109.58,SKU-0040-GRE-256GB,82,17
Headphones 41,Latest model with advanced features,1929.66,Electronics,SKU-0041,Gold,16GB,39.84,SKU-0041-GOL-16GB,90,7
Monitor 42,High quality and durable product,1732.51,Accessories,SKU-0042,Gold,16GB,20.31,SKU-0042-GOL-16GB,12,9
Monitor 43,Best value for money,1566.09,Gadgets,SKU-0043,Black,16GB,68.04,SKU-0043-BLA-16GB,39,9
Monitor 44,Best value for money,1872.34,Electronics,SKU-0044,Green,256GB,67.29,SKU-0044-GRE-256GB,40,11
Camera 45,Enhanced performance and battery life,1238.65,Electronics,SKU-0045,Gold,64GB,162.91,SKU-0045-GOL-64GB,68,16
Tablet 46,Latest model with advanced features,164.05,Electronics,SKU-0046,Blue,64GB,65.2,SKU-0046-BLU-64GB,90,6
Speaker 47,Enhanced performance and battery life,976.26,Gadgets,SKU-0047,Gold,256GB,136.49,SKU-0047-GOL-256GB,47,10
Tablet 48,Enhanced performance and battery life,1711.48,Gadgets,SKU-0048,Black,32GB,34.75,SKU-0048-BLA-32GB,70,17
Smartwatch 49,Enhanced performance and battery life,1845.08,Accessories,SKU-0049,Blue,128GB,97.52,SKU-0049-BLU-128GB,36,9
Speaker 50,Compact and lightweight design,118.39,Gadgets,SKU-0050,Blue,16GB,13.25,SKU-0050-BLU-16GB,70,12
Smartphone 51,Latest model with advanced features,956.25,Electronics,SKU-0051,White,512GB,56.87,SKU-0051-WHI-512GB,33,12
Monitor 52,Enhanced performance and battery life,563.39,Gadgets,SKU-0052,White,512GB,167.66,SKU-0052-WHI-512GB,7,11
Camera 53,High quality and durable product,432.69,Gadgets,SKU-0053,White,64GB,45.5,SKU-0053-WHI-64GB,22,18
Smartphone 54,High quality and durable product,1626.8,Accessories,SKU-0054,Silver,64GB,145.88,SKU-0054-SIL-64GB,22,5
Monitor 55,High quality and durable product,1418.5,Electronics,SKU-0055,Gold,64GB,111.18,SKU-0055-GOL-64GB,13,6
Laptop 56,Compact and lightweight design,1967.39,Accessories,SKU-0056,Red,64GB,45.0,SKU-0056-RED-64GB,94,17
Smartphone 57,Latest model with advanced features,372.36,Accessories,SKU-0057,Blue,256GB,84.18,SKU-0057-BLU-256GB,99,8
Speaker 58,Best value for money,584.03,Electronics,SKU-0058,Red,256GB,12.46,SKU-0058-RED-256GB,51,9
Laptop 59,Best value for money,181.3,Gadgets,SKU-0059,White,64GB,24.12,SKU-0059-WHI-64GB,81,8
Tablet 60,Enhanced performance and battery life,681.71,Gadgets,SKU-0060,Gold,32GB,195.21,SKU-0060-GOL-32GB,81,16
Monitor 61,Latest model with advanced features,1071.82,Accessories,SKU-0061,Silver,64GB,63.57,SKU-0061-SIL-64GB,16,19
Monitor 62,Enhanced performance and battery life,1749.32,Gadgets,SKU-0062,Green,512GB,37.39,SKU-0062-GRE-512GB,67,7
Smartphone 63,Enhanced performance and battery life,405.74,Accessories,SKU-0063,Gold,32GB,189.82,SKU-0063-GOL-32GB,19,13
Camera 64,Enhanced performance and battery life,749.96,Gadgets,SKU-0064,Silver,16GB,162.12,SKU-0064-SIL-16GB,96,10
Speaker 65,Compact and lightweight design,1378.37,Gadgets,SKU-0065,Green,64GB,56.79,SKU-0065-GRE-64GB,22,18
Tablet 66,Compact and lightweight design,556.24,Gadgets,SKU-0066,Blue,32GB,113.81,SKU-0066-BLU-32GB,5,14
Camera 67,High quality and durable product,909.23,Gadgets,SKU-0067,Gold,128GB,122.5,SKU-0067-GOL-128GB,90,19
Speaker 68,Best value for money,878.71,Accessories,SKU-0068,Blue,512GB,97.71,SKU-0068-BLU-512GB,30,17
Smartwatch 69,High quality and durable product,1844.78,Gadgets,SKU-0069,Silver,256GB,135.76,SKU-0069-SIL-256GB,76,17
