product_name,description,base_price,category,product_sku,variant_color,variant_storage,price_modifier,variant_sku,quantity,low_stock_threshold
Apple Tablet 1,Apple Tablet 1 high-quality modern tablet with advanced features.,1693.15,Tablets,SKU-0001,Silver,64GB,0,SKU-0001-SIL-64,9,10
Vivo Headphone 49,Vivo Headphone 49 high-quality modern headphone with advanced features.,1043.45,Headphones,SKU-0002,Silver,512GB,25,SKU-0002-SIL-512,19,9
Oppo Monitor 8,Oppo Monitor 8 high-quality modern monitor with advanced features.,1612.6,Monitors,SKU-0003,Blue,64GB,0,SKU-0003-BLU-64,74,20
LG Smartwatche 3,LG Smartwatche 3 high-quality modern smartwatche with advanced features.,802.59,Smartwatches,SKU-0004,Gold,32GB,25,SKU-0004-GOL-32,28,13
Asus Smartwatche 26,Asus Smartwatche 26 high-quality modern smartwatche with advanced features.,1415.5,Smartwatches,SKU-0005,White,32GB,10,SKU-0005-WHI-32,91,5
HP Gaming Console 47,HP Gaming Console 47 high-quality modern gaming console with advanced features.,1790.31,Gaming Consoles,SKU-0006,Red,32GB,5,SKU-0006-RED-32,49,10
Vivo Tablet 41,Vivo Tablet 41 high-quality modern tablet with advanced features.,1543.19,Tablets,SKU-0007,Green,32GB,25,SKU-0007-GRE-32,56,16
LG Headphone 18,LG Headphone 18 high-quality modern headphone with advanced features.,100.87,Headphones,SKU-0008,Red,128GB,20,SKU-0008-RED-128,17,11
Vivo Home Appliance 27,Vivo Home Appliance 27 high-quality modern home appliance with advanced features.,600.13,Home Appliances,SKU-0009,Blue,64GB,25,SKU-0009-BLU-64,65,10
LG Smartwatche 43,LG Smartwatche 43 high-quality modern smartwatche with advanced features.,1185.27,Smartwatches,SKU-0010,Black,128GB,5,SKU-0010-BLA-128,71,9
Canon Smartwatche 38,Canon Smartwatche 38 high-quality modern smartwatche with advanced features.,862.78,Smartwatches,SKU-0011,White,128GB,10,SKU-0011-WHI-128,50,20
Apple Tablet 41,Apple Tablet 41 high-quality modern tablet with advanced features.,1888.69,Tablets,SKU-0012,Green,1TB,20,SKU-0012-GRE-1TB,91,10
HP Camera 3,HP Camera 3 high-quality modern camera with advanced features.,1434.29,Cameras,SKU-0013,Blue,128GB,10,SKU-0013-BLU-128,74,9
Canon Tablet 9,Canon Tablet 9 high-quality modern tablet with advanced features.,1197.4,Tablets,SKU-0014,Silver,256GB,10,SKU-0014-SIL-256,69,18
Sony Smartwatche 37,Sony Smartwatche 37 high-quality modern smartwatche with advanced features.,132.03,Smartwatches,SKU-0015,Green,128GB,15,SKU-0015-GRE-128,17,6
Asus Gaming Console 16,Asus Gaming Console 16 high-quality modern gaming console with advanced features.,791.86,Gaming Consoles,SKU-0016,Silver,64GB,25,SKU-0016-SIL-64,27,7
Canon Smartphone 24,Canon Smartphone 24 high-quality modern smartphone with advanced features.,933.64,Smartphones,SKU-0017,Silver,512GB,10,SKU-0017-SIL-512,54,8
Canon Monitor 25,Canon Monitor 25 high-quality modern monitor with advanced features.,1069.1,Monitors,SKU-0018,Blue,512GB,15,SKU-0018-BLU-512,98,20
Apple Camera 15,Apple Camera 15 high-quality modern camera with advanced features.,1807.55,Cameras,SKU-0019,Gold,512GB,5,SKU-0019-GOL-512,23,12
Asus Monitor 17,Asus Monitor 17 high-quality modern monitor with advanced features.,1139.74,Monitors,SKU-0020,Silver,512GB,0,SKU-0020-SIL-512,86,15
Vivo Camera 38,Vivo Camera 38 high-quality modern camera with advanced features.,1046.85,Cameras,SKU-0021,Gold,64GB,10,SKU-0021-GOL-64,17,15
Sony Smartphone 7,Sony Smartphone 7 high-quality modern smartphone with advanced features.,1137.51,Smartphones,SKU-0022,Silver,64GB,10,SKU-0022-SIL-64,19,17
LG Gaming Console 22,LG Gaming Console 22 high-quality modern gaming console with advanced features.,1671.58,Gaming Consoles,SKU-0023,Silver,256GB,0,SKU-0023-SIL-256,50,7
Asus Tablet 45,Asus Tablet 45 high-quality modern tablet with advanced features.,951.42,Tablets,SKU-0024,Black,32GB,5,SKU-0024-BLA-32,17,13
Samsung Smartphone 33,Samsung Smartphone 33 high-quality modern smartphone with advanced features.,1671.8,Smartphones,SKU-0025,Red,512GB,20,SKU-0025-RED-512,39,15
Nikon Home Appliance 16,Nikon Home Appliance 16 high-quality modern home appliance with advanced features.,153.59,Home Appliances,SKU-0026,Silver,128GB,10,SKU-0026-SIL-128,62,14
Vivo Smartwatche 8,Vivo Smartwatche 8 high-quality modern smartwatche with advanced features.,994.34,Smartwatches,SKU-0027,Blue,64GB,5,SKU-0027-BLU-64,36,14
Lenovo Headphone 11,Lenovo Headphone 11 high-quality modern headphone with advanced features.,409.73,Headphones,SKU-0028,Red,512GB,15,SKU-0028-RED-512,17,11
Lenovo Camera 42,Lenovo Camera 42 high-quality modern camera with advanced features.,213.04,Cameras,SKU-0029,Silver,64GB,15,SKU-0029-SIL-64,43,13
Asus Smartwatche 34,Asus Smartwatche 34 high-quality modern smartwatche with advanced features.,1298.98,Smartwatches,SKU-0030,Black,256GB,0,SKU-0030-BLA-256,13,16
